id,model,noMesin,noRangka,noPolisi,deliveryDate
695,AGYA 1.2 G A/T TRD,-,MHKA4GB5JLJ034689,,2020-05-30
696,HILUX,-,MR0DB8CC0J4170368,,2019-01-17
696,HILUX ,-,MR0DB8CCXJ4170362,,2019-01-19
697,INNOVA BENSIN,-,MHFJW8EM9G2318067,,2016-11-28
697,INNOVA BENSIN,-,MHFJW8EM9G2317873,,2016-11-28
697,INNOVA BENSIN,-,MHFJW8EM4G2320406,,2016-11-30
697,INNOVA,-,MHFJW8EM4G2316064,,2016-12-17
697,INNOVA,-,MHFJW8EM1G2321982,,2016-12-21
698,AVANZA 1.5,2NRF756697,MHKM5FA4JJK045953,,2018-11-30
699,HILUX PICK UP 2.4 DIESEL STD M/T,-,MR0EB8BB0L0050738,,2020-08-11
700,RUSH 1.5,2NRF759053,MHKE8FA3JJK017294,,2018-11-19
700,FORTUNER 4X2 DIESEL,2GDC454772,MHFGB8GS0J0885210,,2018-11-26
701,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKK028284,,2019-09-26
702,AVANZA,-,MHKM5FA4JJK038163,,2018-05-08
703,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK043765,,2020-02-21
704,AVANZA,-,MHKM5FB4JKK022980,,2019-05-17
704,INNOVA,-,MHFJW8EM5K2365556,,2019-02-21
705,HILUX DC G M/T DIESEL,-,MR0KS8CD5H1104085,,2017-07-27
706,RUSH 1.5 A/T TRD ,-,MHFE2CK3JHK044449,,2017-07-28
707,CALYA 1.2,3NRH133609,MHKA6GJ6JHJ047969,,2017-05-31
708,AVANZA 1.5,2NRF592071,MHKM5FB4JHK011196,,2017-05-08
708,HIACE COMMUTER,2KDA931026,JTFSS22PXH0163654,,2017-05-10
709,INNOVA BENSIN,1TRA237393,MHFJW8EM7H2324807,,2017-02-02
710,AVANZA 1.3,1NRF368384,MHKM5EA2JJK042718,,2018-11-22
710,INNOVA BENSIN,1TRA501489,MHFJW8EM8J2356154,,2018-11-22
710,INNOVA BENSIN,1TRA555382,MHFJW8EM9J2362559,,2018-11-26
710,AVANZA 1.3,1NRF453809,MHKM5EA3JJK120665,,2018-11-29
711,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD5L1211890,,2020-12-22
711,INNOVA BENSIN G M/T,-,MHFJW8EM1L2385000,,2020-12-22
711,INNOVA BENSIN G M/T,-,MHFJW8EM1L2384901,,2020-12-22
712,RUSH 1.5,-,MHKE8FA3JKK038415,,2019-11-23
712,INNOVA BENSIN,-,MHFJW8EMXK2371059,,2019-11-25
713,INNOVA BENSIN,1TRA340179,MHFJW8EM1H2336810,,2017-11-02
714,HILUX PICK UP 2.4 DIESEL STD M/T,-,MR0EB8BB5K0050510,,2020-04-16
715,INNOVA BENSIN,1TRA282029,MHFGW8EM7H1013085,,2017-03-17
716,AVANZA ,-,MHKM5FA4JHK035576,,2017-12-23
717,HIACE,-,JTFSS22P5H0163075,,2017-08-31
717,HIACE,-,JTFSS22PXH0165940,,2017-08-31
717,HILUX DOUBLE CABIN,-,MR0KS8CD1H1036156,,2017-08-31
717,HILUX DOUBLE CABIN,-,MR0KS8CD8H1104839,,2017-08-31
718,AVANZA,-,MHKM5EA3JHK068568,,2017-09-28
719,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ136907,,2020-09-11
720,HILUX,-,MR0DS8CC2H0230684,,2017-09-26
720,HILUX,-,MR0DS8CC8H0230690,,2017-09-26
720,HILUX,-,MR0DS8CC3H0230693,,2017-09-26
720,HILUX,-,MR0DS8CC1H0230689,,2017-09-26
720,HILUX,-,MR0DS8CC4H0230685,,2017-09-26
721,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062642,,2020-02-29
722,AVANZA 1.3 G M/T,-,MHKM5EA3JLK167209,,2020-07-27
723,HILUX ,-,MR0KB8CD7J1207319,,2019-05-31
723,HILUX,-,MR0DB8CD1J0119977,,2019-04-30
724,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JLK029783,,2020-12-29
724,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JLK029676,,2020-12-30
724,INNOVA BENSIN,-,MHFJW8EM2L2384891,,2020-11-26
724,INNOVA BENSIN,-,MHFJW8EM7L2384899,,2020-11-26
725,INNOVA BENSIN,-,MHFJW8EMXL2384895,,2020-11-26
726,RUSH 1.5,2NRF669156,MHKE8FB3JJK004725,,2018-10-08
726,HILUX DOUBLE CABIN 2.5 DIESEL,2KDU951928,MR0KS8CD6H1104287,,2017-05-12
726,HILUX DOUBLE CABIN 2.5 DIESEL,2KDU952460,MR0KS8CD5H1035690,,2017-05-13
726,HILUX DOUBLE CABIN 2.5 DIESEL,2KDU941422,MR0KS8CD5H1104314,,2017-05-17
