id,model,noMesin,noRangka,deliveryDate
74,HILUX,-,MR0HB3CD8H0332164,12/30/2017
75,FORTUNER,-,MHFHB3FS0H0035189,12/20/2017
76,RUSH,-,MHFE2CJ3JHK130441,21/12/17
77,AVANZA,-,MHKM5EA3JHK068419,12/30/2017
78,AVANZA 1.3 VELOZ M/T,-,MHKM5EA4JKK032572,12/4/2019
79,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKJ001879,12/5/2019
80,CALYA 1.2 G A/T,-,MHKA6GK6JKJ058216,12/6/2019
81,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK059741,12/7/2019
82,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ123005,12/12/2019
83,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK039688,12/12/2019
84,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK041291,12/12/2019
85,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ131528,12/13/2019
86,AVANZA 1.3 G M/T,-,MHKM5EA3JKK156631,12/16/2019
87,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JKK024816,12/16/2019
88,INNOVA BENSIN G M/T,-,MHFJW8EM9K2374342,12/16/2019
89,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK038815,12/16/2019
90,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD9K1123018,12/17/2019
91,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKJ000646,12/17/2019
92,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD4K1122293,12/17/2019
93,HILUX PICK UP 2.5 DIESEL M/T,-,MR0ES8BB8K0065258,12/18/2019
94,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0208358,12/18/2019
95,AVANZA 1.3 G M/T,-,MHKM5EA3JKK157755,12/19/2019
96,AVANZA 1.5 VELOZ A/T,-,MHKM5FA4JKK058685,12/19/2019
97,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0208396,12/19/2019
98,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK059787,12/20/2019
99,AVANZA 1.3 G M/T,-,MHKM5EA3JKK152679,12/21/2019
100,AVANZA 1.3 G M/T,-,MHKM5EA3JKK156634,12/21/2019
101,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK059737,12/21/2019
102,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ122868,12/21/2019
103,YARIS S CVT TRD,-,MHFK23F33J2054327,12/21/2019
104,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK060663,12/23/2019
105,CALYA 1.2 G A/T,-,MHKA6GK6JKJ058916,12/23/2019
106,AGYA 1.2 G M/T TRD,-,MHKA4GA5JKJ041127,12/24/2019
107,AVANZA 1.3 G M/T,-,MHKM5EA3JKK157129,12/24/2019
108,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ130049,12/24/2019
109,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK060953,12/28/2019
110,HILUX DOUBLE CABIN 2.4 DIESEL V A/T,-,MR0HB3CD1K0333731,12/28/2019
111,AGYA 1.2 G A/T TRD,-,MHKA4GB5JKJ030951,12/30/2019
112,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKJ005228,12/30/2019
113,AVANZA 1.3 G M/T,-,MHKM5EA3JKK159291,12/31/2019
114,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK060005,12/31/2019
115,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK060133,12/31/2019
116,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK060609,12/31/2019
117,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ133361,12/31/2019
118,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8K1209534,12/31/2019
119,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK057652,11/5/2019
120,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKK025242,11/5/2019
121,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK030717,11/7/2019
122,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK058433,11/8/2019
123,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK040757,11/14/2019
124,RUSH 1.5TRD Sportivo A/T,-,MHKE8FB3JKK036978,11/15/2019
125,INNOVA BENSIN,-,MHFJW8EM5K2371762,11/20/2019
126,CALYA 1.2,-,MHKA6GJ6JKJ122119,11/21/2019
127,INNOVA BENSIN,-,MHFJW8EM4K2372496,11/21/2019
128,HILUX DOUBLE CABIN 2.4 DIESEL,-,MR0KB8CD1J1120239,11/22/2019
129,RUSH 1.5,-,MHKE8FB3JKJ002203,11/22/2019
130,CALYA 1.2,-,MHKA6GJ6JKJ125778,11/23/2019
131,AGYA 1.2,-,MHKA4GA5JKJ039782,11/26/2019
132,AVANZA 1.3,-,MHKM5EA3JKK136022,11/27/2019
133,AGYA 1.2,-,MHKA4GA5JJJ015334,11/28/2019
134,FORTUNER 4X4 DIESEL,-,MHFHB3FS8K0036372,11/28/2019
135,HILUX DOUBLE CABIN 2.4 DIESEL,-,MR0KB8CD1K1122283,11/28/2019
136,RUSH 1.5,-,MHKE8FB3JKK028895,11/28/2019
137,AVANZA 1.5,-,MHKM5FA4JKK059605,11/29/2019
138,HIACE COMMUTER,-,JTFSS22P1K0187803,11/29/2019
139,HILUX DOUBLE CABIN 2.4 DIESEL,-,MR0KB8CD8K1122314,11/29/2019
140,YARIS S,-,MHFK23F39K2073742,11/29/2019
141,"AVANZA 1.3 G M/T
",-,MHKM5EA3JKK155699,11/30/2019
142,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ107268,10/9/2019
143,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKJ000166,10/9/2019
144,AVANZA 1.3 G M/T,-,MHKM5EA3JKK135178,10/12/2019
145,FORTUNER 4X2 DIESEL VRZ A/T TRD,-,MHFGB8GS4K0897717,10/12/2019
146,AGYA 1.2 G M/T TRD,-,MHKA4GA5JKJ037976,10/22/2019
147,INNOVA BENSIN G M/T,-,MHFJW8EM4K2369758,10/22/2019
148,INNOVA BENSIN G M/T,-,MHFJW8EM5K2365847,10/25/2019
149,INNOVA BENSIN G M/T,-,MHFJW8EM5K2367968,10/25/2019
150,INNOVA BENSIN G M/T,-,MHFJW8EM1K2372584,10/25/2019
151,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK055557,10/29/2019
152,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JKK025953,10/30/2019
153,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK055846,10/30/2019
154,INNOVA BENSIN G M/T,-,MHFJW8EM3K2372330,10/30/2019
155,YARIS S CVT TRD,-,MHFK23F3XJ2050551,10/30/2019
156,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ105708,10/31/2019
157,VOXY A/T,-,JT7X2RB80K7015333,9/2/2019
158,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB8K0207791,9/5/2019
159,AGYA 1.2 G M/T TRD,-,MHKA4GA5JKJ032855,9/5/2019
160,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ122467,9/6/2019
161,AVANZA,-,MHKM5EA3JKK146851,9/10/2019
162,AVANZA,-,MHKM5FA4JKK055824,9/11/2019
163,INNOVA,-,MHFJW8EM7K2371004,9/11/2019
164,RUSH,-,MHKE8FA3JKK033038,9/13/2019
165,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK055668,9/18/2019
166,AGYA 1.2 G M/T TRD,-,MHKA4GA5JKJ032210,9/19/2019
167,AVANZA 1.3 G M/T,-,MHKM5EA3JKK138932,9/19/2019
168,AVANZA 1.3 G M/T,-,MHKM5EA3JKK133550,9/20/2019
169,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8J1120030,9/21/2019
170,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK038157,9/25/2019
171,AGYA 1.2 G M/T TRD,-,MHKA4GA5JKJ031178,9/26/2019
172,INNOVA DIESEL VENTURER A/T,-,MHFAB3EM4K0013840,9/28/2019
173,SIENTA 1.5 V CVT,-,MHFZ28H3XJ0056919,9/28/2019
174,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK055125,9/30/2019
175,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK054825,8/2/2019
176,INNOVA BENSIN G M/T,-,MHFJW8EM4K2370926,8/3/2019
177,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKK027780,8/6/2019
178,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK054577,8/10/2019
179,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK032514,8/13/2019
180,AVANZA 1.3 G M/T,-,MHKM5EA3JKK129926,8/14/2019
181,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK031999,8/14/2019
182,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK053647,8/15/2019
183,HILUX EXTRA CABIN 4X4 E M/T,-,MR0DB8CC7K4170594,8/22/2019
184,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKK028045,8/22/2019
185,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKK028421,8/23/2019
186,AGYA 1.2 G A/T TRD,-,MHKA4GB5JKJ026402,8/27/2019
187,INNOVA BENSIN G M/T,-,MHFJW8EM5K2369204,8/28/2019
188,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JJK011076,8/28/2019
189,AGYA ,-,MHKA4GA5JKJ034091,7/4/2019
190,YARIS,-,MHFK23F39K2056617,7/4/2019
191,RUSH ,-,MHKE8FA3JKK034181,7/18/2019
192,RUSH ,-,MHKE8FA3JKK032876,7/19/2019
193,CALYA ,-,MHKA6GJ6JKJ111996,7/22/2019
194,FORTUNER,-,MHFGB8GS0J0886471,7/22/2019
195,AGYA 1.2 G A/T TRD,-,MHKA4GB5JKJ025576,7/27/2019
196,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB2K0207978,7/27/2019
197,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK054786,7/29/2019
198,AVANZA 1.3 G M/T,-,MHKM5EA3JKK140657,7/30/2019
199,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD6J1207912,7/30/2019
200,INNOVA G M/T,-,MHFJW8EMXK2369764,7/30/2019
201,AVANZA 1.3 G M/T,-,MHKM5EA3JKK141542,7/31/2019
202,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JKK054602,7/31/2019
203,CALYA 1.2 G AT,-,MHKA6GK6JKJ051451,7/31/2019
204,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JKK034707,7/31/2019
205,AGYA,-,MHKA4GA5JKJ029910,6/4/2019
206,AVANZA ,-,MHKM5FA4JKK053075,6/11/2019
207,AVANZA ,-,MHKM5FA4JKK053760,6/13/2019
208,RUSH ,-,MHKE8FB3JKK025587,6/13/2019
209,AGYA,-,MHKA4GA5JKJ033219,6/14/2019
210,CALYA,-,MHKA6GJ6JKJ109652,6/14/2019
211,CALYA ,-,MHKA6GJ6JKJ104811,6/18/2019
212,RUSH ,-,MHKE8FB3JKK027311,6/18/2019
213,CALYA ,-,MHKA6GJ6JKJ110969,6/19/2019
214,AVANZA ,-,MHKM5EA3JKK138331,6/20/2019
215,CALYA ,-,MHKA6GJ6JKJ113263,6/21/2019
216,AVANZA,-,MHKM5FA4JKK050966,6/22/2019
217,AVANZA ,-,MHKM5FA4JKK053926,6/22/2019
218,CALYA ,-,MHKA6GK6JJJ045870,6/22/2019
219,CALYA ,-,MHKA6GJ6JKJ113827,6/24/2019
220,AGYA ,-,MHKA4GB5JKJ024499,6/25/2019
221,HILUX,-,MR0KB8CDXK1121309,6/25/2019
222,AGYA,-,MHKA4GB5JKJ024843,6/27/2019
223,YARIS,-,MHFK23F32K2055650,6/27/2019
224,AVANZA ,-,MHKM5FA4JKK054214,6/28/2019
225,RUSH ,-,MHKE8FB3JKK026018,6/28/2019
226,AGYA,-,MHKA4GA5JKJ032823,6/29/2019
227,AVANZA ,-,MHKM5EA3JKK138423,6/29/2019
228,AVANZA ,-,MHKM5FA4JKK054029,6/29/2019
229,AVANZA ,-,MHKM5FA4JKK054208,6/29/2019
230,CALYA ,-,MHKA6GJ6JKJ111169,6/29/2019
231,CALYA ,-,MHKA6GJ6JKJ111055,6/29/2019
232,INNOVA ,-,MHFJW8EM8K2370427,6/30/2019
233,AVANZA ,-,MHKM5EA3JKK135746,5/7/2019
234,AVANZA,-,MHKM5EA3JKK130415,5/14/2019
235,RUSH,-,MHKE8FA3JKK030491,5/14/2019
236,AVANZA ,-,MHKM5EA3JKK134685,5/15/2019
237,INNOVA,-,MHFJW8EM1K2369250,5/15/2019
238,INNOVA,-,MHFAW8EM2K0212726,5/16/2019
239,AVANZA,-,MHKM5EA3JKK132324,5/17/2019
240,AVANZA ,-,MHKM5FA4JKK051414,5/20/2019
241,CALYA,-,MHKA6GJ6JKJ107696,5/20/2019
242,CALYA ,-,MHKA6GJ6JKJ111211,5/21/2019
243,RUSH ,-,MHKE8FA3JKK031134,5/23/2019
244,AVANZA ,-,MHKM5FA4JKK052332,5/24/2019
245,RUSH ,-,MHKE8FB3JKK025992,5/24/2019
246,AVANZA ,-,MHKM5EA4JKK030360,5/28/2019
247,INNOVA ,-,MHFJW8EMXK2369392,5/28/2019
248,INNOVA ,-,MHFJW8EM1K2369345,5/28/2019
249,HILUX,-,MR0EW8BB0K0207980,5/29/2019
250,AVANZA,-,MHKM5EA3JKK134385,5/31/2019
251,AVANZA,-,MHKM5EA3JKK137396,5/31/2019
252,AVANZA ,-,MHKM5EA3JKK136235,5/31/2019
253,CALYA ,-,MHKA6GJ6JKJ103159,5/31/2019
254,CALYA ,-,MHKA6GJ6JKJ107611,5/31/2019
255,INNOVA,-,MHFJW8EM3K2370755,5/31/2019
256,RUSH,-,MHKE8FA3JKK027003,5/31/2019
257,CALYA ,-,MHKA6GJ6JKJ112581,4/16/2019
258,RUSH ,-,MHKE8FB3JKK024602,4/16/2019
259,RUSH ,-,MHKE8FA3JKK026573,4/18/2019
260,HILUX,-,MR0EW8BB7J0207585,4/18/2019
261,AGYA,-,MHKA4GA5JKJ030175,4/24/2019
262,AGYA,-,MHKA4GB5JKJ022975,4/25/2019
263,HILUX,-,MR0EW8BB9K0207685,4/26/2019
264,INNOVA,-,MHFGW8EM8K1026502,4/26/2019
265,RUSH,-,MHKE8FA3JKK028552,4/26/2019
266,AGYA,-,MHKA4GA5JKJ032156,4/27/2019
267,AVANZA,-,MHKM5EA3JKK134754,4/30/2019
268,AVANZA ,-,MHKM5FA4JKK050155,4/30/2019
269,INNOVA,-,MHFJW8EM4K2369033,4/30/2019
270,INNOVA ,-,MHFJW8EM9K2368993,4/30/2019
271,RUSH,-,MHKE8FA3JJK023037,4/30/2019
272,AVANZA,-,MHKM5EA3JKK129736,3/8/2019
273,INNOVA,-,MHFJW8EM9J2363291,3/9/2019
274,INNOVA,-,MHFJW8EM6K2366487,3/14/2019
275,AVANZA,-,MHKM5EA3JKK133463,3/15/2019
276,INNOVA,-,MHFGW8EM9K1025262,3/16/2019
277,AGYA,-,MHKA4GA5JJJ021776,3/19/2019
278,CALYA,-,MHKA6GK6JJJ045487,3/21/2019
279,AGYA,-,MHKA4GA5JKJ030756,3/23/2019
280,AVANZA ,-,MHKM5FA4JKK049988,3/25/2019
